;FECHA;TMAX;TMIN;HR;PP
0;1978-10-01;28.0;21.6;94.9;0.0
1;1978-10-02;28.2;21.4;96.8;0.0
2;1978-10-03;26.2;19.8;96.2;0.0
3;1978-10-04;27.0;21.0;96.2;0.0
4;1978-10-05;26.2;20.8;95.6;0.0
5;1978-10-06;33.0;21.0;93.2;65.0
6;1978-10-07;25.4;22.0;97.9;0.0
7;1978-10-08;33.6;22.0;92.3;0.0
8;1978-10-09;24.0;21.4;;0.0
9;1978-10-10;33.0;22.4;92.1;0.0
10;1978-10-11;31.4;22.4;89.3;0.0
11;1978-10-12;32.2;21.8;91.4;80.0
12;1978-10-13;29.0;23.0;95.3;100.0
13;1978-10-14;29.4;21.0;94.2;0.0
14;1978-10-15;33.0;22.0;90.1;0.0
15;1978-10-16;33.4;22.0;87.5;0.0
16;1978-10-17;26.4;21.8;93.5;0.0
17;1978-10-18;28.5;21.0;95.7;40.0
18;1978-10-19;31.2;22.2;91.7;0.0
19;1978-10-20;30.2;22.6;93.6;0.0
20;1978-10-21;34.0;22.0;90.7;0.0
21;1978-10-22;28.2;21.0;96.3;0.0
22;1978-10-23;29.0;22.0;94.3;0.0
23;1978-10-24;33.0;22.0;87.6;0.0
24;1978-10-25;32.2;22.0;93.3;0.0
25;1978-10-26;24.4;22.0;95.4;40.0
26;1978-10-27;31.4;21.0;91.7;0.0
27;1978-10-28;33.6;21.4;91.4;0.0
28;1978-10-29;31.0;22.2;91.7;0.0
29;1978-10-30;30.3;23.0;93.3;0.0
30;1978-10-31;29.3;20.0;94.4;0.0
31;1978-11-01;29.3;22.0;82.3;0.0
32;1978-11-02;28.3;23.0;79.7;0.0
33;1978-11-03;29.3;21.0;78.3;0.0
34;1978-11-04;25.4;20.1;87.5;0.0
35;1978-11-05;28.3;20.1;76.1;0.0
36;1978-11-06;25.1;20.0;89.3;125.0
37;1978-11-07;34.0;20.0;73.0;0.0
38;1978-11-08;35.0;22.3;78.7;0.0
39;1978-11-09;34.0;23.2;;0.0
40;1978-11-10;31.1;20.1;82.8;45.0
41;1978-11-11;35.0;21.0;79.8;0.0
42;1978-11-12;36.0;24.0;82.0;0.0
43;1978-11-13;27.0;23.0;83.3;0.0
44;1978-11-14;33.0;20.4;69.3;0.0
45;1978-11-15;35.0;22.2;77.6;0.0
46;1978-11-16;34.0;23.0;82.1;0.0
47;1978-11-17;32.2;24.4;79.3;0.0
48;1978-11-18;28.3;23.0;76.7;0.0
49;1978-11-19;33.0;24.0;83.9;0.0
50;1978-11-20;33.0;23.5;86.1;0.0
51;1978-11-21;32.1;22.2;78.1;30.0
52;1978-11-22;30.0;24.0;85.3;0.0
53;1978-11-23;32.1;23.0;83.5;0.0
54;1978-11-24;30.1;23.0;82.1;0.0
55;1978-11-25;31.0;23.0;82.5;0.0
56;1978-11-26;32.2;24.0;;30.0
57;1978-11-27;29.0;24.0;85.9;90.0
58;1978-11-28;31.0;23.0;86.2;80.0
59;1978-11-29;29.0;22.2;81.8;40.0
60;1978-11-30;30.0;22.4;84.9;0.0
61;1978-12-01;25.8;21.6;;22.0
62;1978-12-02;26.8;18.8;;0.0
63;1978-12-03;30.2;17.0;;0.0
64;1978-12-04;30.0;20.0;;19.0
65;1978-12-05;30.8;21.2;;0.0
66;1978-12-06;30.0;22.0;;0.0
67;1978-12-07;32.5;22.0;;0.0
68;1978-12-08;32.8;20.0;;8.0
69;1978-12-09;32.0;20.2;;3.0
70;1978-12-10;27.0;20.4;;0.0
71;1978-12-11;32.2;21.2;;0.0
72;1978-12-12;25.8;17.0;;12.0
73;1978-12-13;30.6;18.0;;4.0
74;1978-12-14;30.8;19.8;;10.0
75;1978-12-15;30.8;21.0;;0.0
76;1978-12-16;31.0;21.0;;0.0
77;1978-12-17;29.0;21.2;;25.0
78;1978-12-18;30.6;20.2;;0.0
79;1978-12-19;33.0;22.0;;0.0
80;1978-12-20;33.6;21.2;;0.0
81;1978-12-21;32.8;19.8;;0.0
82;1978-12-22;29.0;21.0;;0.0
83;1978-12-23;29.8;21.0;;36.0
84;1978-12-24;31.2;19.0;;0.0
85;1978-12-25;29.8;20.2;;44.0
86;1978-12-26;32.2;21.2;;0.0
87;1978-12-27;32.4;19.8;;16.0
88;1978-12-28;30.6;19.2;;0.0
89;1978-12-29;30.6;21.2;;10.0
90;1978-12-30;31.0;20.0;;9.0
91;1978-12-31;32.2;20.0;;0.0
92;1979-01-01;34.2;23.0;93.2;0.0
93;1979-01-02;29.6;22.6;95.2;0.0
94;1979-01-03;31.4;23.0;88.9;0.0
95;1979-01-04;31.8;24.2;90.9;0.0
96;1979-01-05;30.0;22.2;;0.0
97;1979-01-06;32.2;25.4;89.7;0.0
98;1979-01-07;31.6;24.2;90.5;1.2
99;1979-01-08;34.0;23.0;89.6;11.0
100;1979-01-09;35.2;22.4;88.2;17.8
101;1979-01-10;32.4;24.0;89.2;21.2
102;1979-01-11;32.0;24.0;89.4;8.6
103;1979-01-12;32.0;24.0;95.8;17.8
104;1979-01-13;32.8;24.0;91.0;14.0
105;1979-01-14;31.0;24.8;93.2;0.0
106;1979-01-15;28.0;21.0;;0.0
107;1979-01-16;29.2;23.0;;0.0
108;1979-01-17;33.0;23.9;;2.4
109;1979-01-18;35.2;23.2;;0.0
110;1979-01-19;32.0;23.4;;0.0
111;1979-01-20;30.0;23.4;;0.0
112;1979-01-21;32.4;23.8;;5.4
113;1979-01-22;26.0;23.0;;21.6
114;1979-01-23;32.0;23.2;91.0;14.0
115;1979-01-24;32.6;23.0;91.2;0.0
116;1979-01-25;31.2;23.0;;0.0
117;1979-01-26;32.8;23.6;93.3;0.0
118;1979-01-27;33.0;22.8;93.8;0.0
119;1979-01-28;33.8;24.0;87.9;0.0
120;1979-01-29;31.4;22.8;93.5;1.4
121;1979-01-30;30.6;23.4;94.4;17.6
122;1979-01-31;31.6;23.0;88.8;0.0
123;1979-02-01;30.4;23.0;87.8;0.0
124;1979-02-02;31.6;24.4;91.8;0.0
125;1979-02-03;32.1;24.0;94.4;0.0
126;1979-02-04;33.0;23.4;89.0;0.0
127;1979-02-05;32.4;;;0.0
128;1979-02-06;31.4;24.0;94.4;0.0
129;1979-02-07;31.2;23.8;92.3;0.0
130;1979-02-08;34.6;23.2;92.5;0.0
131;1979-02-09;34.8;23.4;90.3;0.0
132;1979-02-10;32.0;23.6;88.6;1.0
133;1979-02-11;31.6;24.0;88.7;31.6
134;1979-02-12;28.4;23.0;94.4;26.3
135;1979-02-13;31.2;23.4;;1.2
136;1979-02-14;33.0;22.8;90.9;1.0
137;1979-02-15;32.4;22.4;89.1;0.0
138;1979-02-16;29.2;22.8;;0.0
139;1979-02-17;31.0;24.4;93.0;0.9
140;1979-02-18;32.0;25.0;91.0;0.0
141;1979-02-19;32.6;23.4;89.3;0.0
142;1979-02-20;31.8;24.0;86.5;0.0
143;1979-02-21;32.0;23.6;87.0;0.0
144;1979-02-22;30.6;24.0;88.1;0.0
145;1979-02-23;32.0;24.4;89.4;0.0
146;1979-02-24;30.0;22.0;91.6;0.0
147;1979-02-25;30.6;22.8;89.9;20.0
148;1979-02-26;32.0;23.6;87.6;0.0
149;1979-02-27;33.2;24.0;88.2;0.0
150;1979-02-28;29.6;24.6;91.4;0.0
151;1979-03-01;28.2;23.4;90.5;0.0
152;1979-03-02;27.0;21.4;96.8;20.0
153;1979-03-03;28.0;22.0;95.3;0.0
154;1979-03-04;27.4;22.0;95.2;1.0
155;1979-03-05;28.0;21.2;93.7;20.6
156;1979-03-06;26.0;20.4;93.6;30.4
157;1979-03-07;28.4;21.2;91.7;6.0
158;1979-03-08;27.0;22.0;93.2;25.0
159;1979-03-09;28.2;20.4;95.2;30.7
160;1979-03-10;29.4;21.0;93.0;0.0
161;1979-03-11;28.4;21.2;89.8;30.5
162;1979-03-12;29.4;22.0;93.7;0.0
163;1979-03-13;31.0;21.2;94.9;0.0
164;1979-03-14;31.4;21.4;91.3;0.0
165;1979-03-15;30.4;23.0;91.1;0.0
166;1979-03-16;30.6;22.4;91.2;1.0
167;1979-03-17;31.4;21.6;92.9;0.0
168;1979-03-18;30.2;22.0;90.6;0.0
169;1979-03-19;31.4;21.8;90.1;0.0
170;1979-03-20;30.0;21.0;90.7;31.2
171;1979-03-21;34.0;22.2;90.4;0.0
172;1979-03-22;33.0;22.4;90.6;62.6
173;1979-03-23;34.0;24.0;91.9;0.0
174;1979-03-24;27.4;22.4;95.8;25.0
175;1979-03-25;30.0;23.0;93.9;0.0
176;1979-03-26;27.4;21.4;95.2;0.0
177;1979-03-27;30.6;21.0;94.2;0.0
178;1979-03-28;30.0;20.8;90.7;0.0
179;1979-03-29;31.4;21.8;90.9;0.0
180;1979-03-30;31.6;22.0;89.2;0.0
181;1979-03-31;31.4;20.4;92.6;30.0
182;1979-04-01;27.0;22.0;94.7;0.0
183;1979-04-02;28.4;21.4;93.3;0.0
184;1979-04-03;30.4;22.6;92.1;0.0
185;1979-04-04;31.2;23.4;86.8;0.0
186;1979-04-05;30.4;22.0;89.6;0.0
187;1979-04-06;31.6;19.8;89.1;0.0
188;1979-04-07;29.6;19.4;95.3;0.0
189;1979-04-08;27.8;19.0;94.7;0.0
190;1979-04-09;30.4;20.4;91.3;0.0
191;1979-04-10;27.0;19.6;95.1;30.0
192;1979-04-11;30.0;20.0;90.8;0.0
193;1979-04-12;29.2;19.6;91.6;0.0
194;1979-04-13;30.6;20.6;91.4;40.0
195;1979-04-14;26.4;18.4;96.2;0.0
196;1979-04-15;26.0;17.0;95.1;30.0
197;1979-04-16;30.0;20.0;90.3;0.0
198;1979-04-17;29.8;21.4;88.6;0.0
199;1979-04-18;29.0;20.6;92.6;0.0
200;1979-04-19;27.6;21.1;89.5;20.0
201;1979-04-20;27.0;20.4;86.2;0.0
202;1979-04-21;31.0;21.6;94.0;0.0
203;1979-04-22;30.6;21.6;89.5;0.0
204;1979-04-23;30.8;20.8;91.7;0.0
205;1979-04-24;31.4;19.4;92.0;0.0
206;1979-04-25;32.0;19.0;93.6;0.0
207;1979-04-26;30.0;21.0;92.5;40.0
208;1979-04-27;31.4;20.6;88.9;0.0
209;1979-04-28;31.6;21.6;90.7;0.0
210;1979-04-29;31.8;22.0;92.1;0.0
211;1979-04-30;30.6;21.4;93.3;0.0
212;1979-07-01;;;;0.0
213;1979-07-02;;;;0.0
214;1979-07-03;;;;29.0
215;1979-07-04;;;;4.0
216;1979-07-05;;;;3.0
217;1979-07-06;;;;0.0
218;1979-07-07;;;;0.0
219;1979-07-08;;;;0.0
220;1979-07-09;;;;3.0
221;1979-07-10;;;;0.0
222;1979-07-11;;;;0.0
223;1979-07-12;;;;0.0
224;1979-07-13;;;;0.0
225;1979-07-14;;;;0.0
226;1979-07-15;;;;6.0
227;1979-07-16;;;;59.0
228;1979-07-17;;;;3.0
229;1979-07-18;;;;6.0
230;1979-07-19;;;;42.0
231;1979-07-20;;;;67.0
232;1979-07-21;;;;2.0
233;1979-07-22;;;;2.0
234;1979-07-23;;;;9.0
235;1979-07-24;;;;0.0
236;1979-07-25;;;;2.0
237;1979-07-26;;;;2.0
238;1979-07-27;;;;0.0
239;1979-07-28;;;;0.0
240;1979-07-29;;;;0.0
241;1979-07-30;;;;0.0
242;1979-07-31;;;;9.0
243;1980-04-01;31.0;21.2;84.9;27.0
244;1980-04-02;29.6;20.0;87.7;0.0
245;1980-04-03;30.4;21.4;84.2;0.0
246;1980-04-04;31.2;21.2;85.3;10.0
247;1980-04-05;29.6;20.8;87.3;0.0
248;1980-04-06;30.4;21.4;85.6;0.0
249;1980-04-07;31.4;22.4;85.3;10.0
250;1980-04-08;31.2;21.0;86.1;0.0
251;1980-04-09;31.0;21.8;85.5;0.0
252;1980-04-10;30.0;22.0;88.1;0.0
253;1980-04-11;29.8;21.4;89.8;0.0
254;1980-04-12;30.4;22.0;88.0;0.0
255;1980-04-13;31.2;22.0;85.3;0.0
256;1980-04-14;29.8;21.8;91.0;17.0
257;1980-04-15;30.4;22.0;88.7;19.0
258;1980-04-16;31.4;21.8;83.2;0.0
259;1980-04-17;31.4;22.0;84.4;0.0
260;1980-04-18;30.6;21.4;86.9;0.0
261;1980-04-19;31.6;20.8;86.5;10.0
262;1980-04-20;30.2;21.4;86.1;0.0
263;1980-04-21;30.2;22.0;83.6;0.0
264;1980-04-22;30.0;21.4;86.4;0.0
265;1980-04-23;29.8;22.0;91.4;19.0
266;1980-04-24;28.8;21.4;92.4;10.0
267;1980-04-25;29.8;22.0;85.5;0.0
268;1980-04-26;26.8;21.4;89.7;0.0
269;1980-04-27;31.0;22.0;86.0;0.0
270;1980-04-28;30.6;21.4;87.2;0.0
271;1980-04-29;31.4;20.6;86.1;19.0
272;1980-04-30;31.0;20.0;90.2;0.0
273;1980-05-01;33.2;22.2;81.5;0.0
274;1980-05-02;31.4;21.4;82.7;0.0
275;1980-05-03;30.8;21.8;83.8;1.6
276;1980-05-04;31.4;22.4;87.8;0.0
277;1980-05-05;31.6;22.8;84.3;1.4
278;1980-05-06;30.4;22.0;87.7;0.0
279;1980-05-07;31.6;21.4;83.4;0.0
280;1980-05-08;32.4;21.8;79.6;31.4
281;1980-05-09;31.8;21.0;84.9;3.4
282;1980-05-10;31.6;21.4;84.1;0.0
283;1980-05-11;31.4;21.8;84.9;0.0
284;1980-05-12;31.2;21.6;83.7;0.0
285;1980-05-13;30.6;20.4;82.9;40.8
286;1980-05-14;32.4;21.8;84.6;0.0
287;1980-05-15;32.8;22.6;87.3;1.4
288;1980-05-16;31.6;23.0;86.4;0.0
289;1980-05-17;31.8;21.4;82.0;7.6
290;1980-05-18;30.4;20.8;88.2;0.0
291;1980-05-19;31.6;21.6;83.3;19.2
292;1980-05-20;31.0;21.8;83.4;0.0
293;1980-05-21;29.8;22.2;85.3;0.0
294;1980-05-22;33.0;22.8;84.3;0.2
295;1980-05-23;31.8;21.4;82.2;0.0
296;1980-05-24;31.4;23.0;80.9;0.0
297;1980-05-25;30.6;22.4;85.1;1.8
298;1980-05-26;31.8;22.6;85.4;2.2
299;1980-05-27;31.4;21.4;85.7;0.0
300;1980-05-28;31.8;21.4;82.7;0.0
301;1980-05-29;31.6;21.6;81.8;0.0
302;1980-05-30;31.8;22.0;85.0;0.0
303;1980-05-31;31.4;21.4;86.4;0.0
304;1980-06-01;27.0;22.0;88.6;0.0
305;1980-06-02;29.0;23.0;96.9;0.0
306;1980-06-03;27.4;23.2;94.7;0.0
307;1980-06-04;30.0;23.6;95.8;0.0
308;1980-06-05;28.0;22.8;94.3;40.0
309;1980-06-06;27.8;24.2;94.3;0.0
310;1980-06-07;28.0;24.4;92.7;0.0
311;1980-06-08;28.2;20.0;98.2;0.0
312;1980-06-09;29.0;23.0;90.3;0.0
313;1980-06-10;31.0;22.4;90.2;0.0
314;1980-06-11;30.2;22.6;95.2;4.0
315;1980-06-12;32.0;23.0;94.0;0.0
316;1980-06-13;29.0;22.8;95.9;0.0
317;1980-06-14;30.4;24.5;91.0;4.0
318;1980-06-15;30.0;23.8;90.3;0.0
319;1980-06-16;30.0;23.0;89.4;0.0
320;1980-06-17;29.8;23.6;89.8;0.0
321;1980-06-18;29.8;22.0;91.2;0.0
322;1980-06-19;29.0;25.0;91.6;0.0
323;1980-06-20;28.8;24.8;86.8;0.0
324;1980-06-21;29.8;24.0;88.1;0.0
325;1980-06-22;30.0;25.0;89.0;2.0
326;1980-06-23;27.0;20.0;97.1;0.0
327;1980-06-24;27.0;21.0;94.0;0.0
328;1980-06-25;28.0;20.0;86.0;0.0
329;1980-06-26;29.0;22.0;83.3;0.0
330;1980-06-27;28.6;21.2;89.3;10.0
331;1980-06-28;27.0;21.4;90.3;0.0
332;1980-06-29;33.0;21.8;86.8;0.0
333;1980-06-30;30.0;20.0;91.4;0.0
334;1980-07-01;28.0;20.0;93.8;0.0
335;1980-07-02;32.0;19.0;92.4;0.0
336;1980-07-03;31.0;26.0;93.0;0.0
337;1980-07-04;29.0;24.0;91.3;0.0
338;1980-07-05;30.6;24.8;97.0;0.0
339;1980-07-06;27.0;22.0;98.4;0.0
340;1980-07-07;25.0;20.0;93.0;0.0
341;1980-07-08;32.2;24.0;97.4;0.0
342;1980-07-09;30.0;22.0;96.9;0.0
343;1980-07-10;31.8;22.8;95.3;0.0
344;1980-07-11;30.6;21.0;96.4;0.0
345;1980-07-12;29.8;19.0;96.3;0.0
346;1980-07-13;32.0;23.0;95.2;0.0
347;1980-07-14;30.0;23.6;94.4;0.0
348;1980-07-15;30.4;24.2;94.5;0.0
349;1980-07-16;30.0;23.6;96.2;0.0
350;1980-07-17;31.5;25.0;91.0;0.0
351;1980-07-18;32.0;22.0;93.4;0.0
352;1980-07-19;33.2;21.0;93.9;0.0
353;1980-07-20;29.8;24.0;95.4;0.0
354;1980-07-21;29.0;24.0;95.4;0.0
355;1980-07-22;26.2;22.0;96.1;0.0
356;1980-07-23;27.0;20.0;95.8;0.0
357;1980-07-24;30.0;21.2;97.0;0.0
358;1980-07-25;33.0;22.2;96.1;0.0
359;1980-07-26;31.0;23.0;95.1;0.0
360;1980-07-27;32.0;23.0;94.0;0.0
361;1980-07-28;32.0;21.0;94.0;0.0
362;1980-07-29;30.0;22.8;96.4;0.0
363;1980-07-30;29.0;23.0;92.9;0.0
364;1980-07-31;;;;0.0
365;2011-03-01;;;;6.5
366;2011-03-02;;;;16.8
367;2011-03-03;;;;45.0
368;2011-03-04;;;;43.5
369;2011-03-05;;;;2.0
370;2011-03-06;;;;2.4
371;2011-03-07;;;;4.0
372;2011-03-08;;;;3.7
373;2011-03-09;;;;13.8
374;2011-03-10;;;;0.0
375;2011-03-11;;;;0.0
376;2011-03-12;;;;13.4
377;2011-03-13;;;;4.5
378;2011-03-14;;;;0.0
379;2011-03-15;;;;0.0
380;2011-03-16;;;;0.0
381;2011-03-17;;;;27.0
382;2011-03-18;;;;1.0
383;2011-03-19;;;;40.0
384;2011-03-20;;;;5.0
385;2011-03-21;;;;68.0
386;2011-03-22;;;;4.0
387;2011-03-23;;;;10.7
388;2011-03-24;;;;80.0
389;2011-03-25;;;;40.0
390;2011-03-26;;;;7.0
391;2011-03-27;;;;78.0
392;2011-03-28;;;;9.0
393;2011-03-29;;;;0.0
394;2011-03-30;;;;0.0
395;2011-03-31;;;;0.0
396;2011-04-01;;;;0.0
397;2011-04-01;;;;43.0
398;2011-04-02;;;;0.0
399;2011-04-03;;;;10.0
400;2011-04-04;;;;39.0
401;2011-04-05;;;;12.0
402;2011-04-06;;;;45.7
403;2011-04-07;;;;0.0
404;2011-04-08;;;;25.8
405;2011-04-09;;;;10.0
406;2011-04-10;;;;0.0
407;2011-04-11;;;;0.0
408;2011-04-12;;;;0.0
409;2011-04-13;;;;0.0
410;2011-04-14;;;;15.8
411;2011-04-15;;;;20.4
412;2011-04-16;;;;0.0
413;2011-04-17;;;;115.5
414;2011-04-18;;;;111.5
415;2011-04-19;;;;92.6
416;2011-04-20;;;;65.0
417;2011-04-21;;;;23.5
418;2011-04-22;;;;35.7
419;2011-04-23;;;;0.0
420;2011-04-24;;;;70.0
421;2011-04-25;;;;63.5
422;2011-04-26;;;;58.6
423;2011-04-27;;;;40.0
424;2011-04-28;;;;64.7
425;2011-04-29;;;;0.0
426;2011-04-30;;;;28.7
427;2011-05-01;;;;0.0
428;2011-05-01;;;;0.0
429;2011-05-02;;;;0.0
430;2011-05-03;;;;0.0
431;2011-05-04;;;;0.0
432;2011-05-05;;;;0.0
433;2011-05-06;;;;0.0
434;2011-05-07;;;;0.0
435;2011-05-08;;;;0.0
436;2011-05-09;;;;50.3
437;2011-05-10;;;;20.0
438;2011-05-11;;;;0.0
439;2011-05-12;;;;0.0
440;2011-05-13;;;;0.0
441;2011-05-14;;;;0.0
442;2011-05-15;;;;0.0
443;2011-05-16;;;;0.0
444;2011-05-17;;;;0.0
445;2011-05-18;;;;17.9
446;2011-05-19;;;;40.5
447;2011-05-20;;;;7.0
448;2011-05-21;;;;0.0
449;2011-05-22;;;;21.7
450;2011-05-23;;;;1.5
451;2011-05-24;;;;0.0
452;2011-05-25;;;;0.0
453;2011-05-26;;;;49.8
454;2011-05-27;;;;19.5
455;2011-05-28;;;;0.0
456;2011-05-29;;;;0.0
457;2011-05-30;;;;0.0
458;2011-05-31;;;;0.0
459;2011-06-01;;;;0.0
460;2011-07-01;;;;98.9
461;2011-07-02;;;;17.5
462;2011-07-03;;;;50.3
463;2011-07-04;;;;9.9
464;2011-07-05;;;;6.7
465;2011-07-06;;;;0.0
466;2011-07-07;;;;12.3
467;2011-07-08;;;;0.0
468;2011-07-09;;;;0.0
469;2011-07-10;;;;6.0
470;2011-07-11;;;;10.0
471;2011-07-12;;;;0.0
472;2011-07-13;;;;0.0
473;2011-07-14;;;;0.0
474;2011-07-15;;;;71.5
475;2011-07-16;;;;0.0
476;2011-07-17;;;;3.7
477;2011-07-18;;;;33.7
478;2011-07-19;;;;0.0
479;2011-07-20;;;;0.0
480;2011-07-21;;;;0.0
481;2011-07-22;;;;6.0
482;2011-07-23;;;;78.5
483;2011-07-24;;;;0.0
484;2011-07-25;;;;0.0
485;2011-07-26;;;;19.5
486;2011-07-27;;;;11.0
487;2011-07-28;;;;0.0
488;2011-07-29;;;;0.0
489;2011-07-30;;;;11.0
490;2011-07-31;;;;0.0
491;2011-08-01;;;;0.0
492;2011-08-02;;;;0.0
493;2011-08-03;;;;14.6
494;2011-08-04;;;;13.2
495;2011-08-05;;;;0.0
496;2011-08-06;;;;0.0
497;2011-08-07;;;;6.9
498;2011-08-08;;;;0.0
499;2011-08-09;;;;21.0
500;2011-08-10;;;;0.0
501;2011-08-11;;;;0.0
502;2011-08-12;;;;0.0
503;2011-08-13;;;;0.0
504;2011-08-14;;;;27.9
505;2011-08-15;;;;0.0
506;2011-08-16;;;;0.0
507;2011-08-17;;;;0.0
508;2011-08-18;;;;0.0
509;2011-08-19;;;;0.0
510;2011-08-20;;;;6.0
511;2011-08-21;;;;40.0
512;2011-08-22;;;;0.0
513;2011-08-23;;;;0.0
514;2011-08-24;;;;0.0
515;2011-08-25;;;;0.0
516;2011-08-26;;;;0.0
517;2011-08-27;;;;0.0
518;2011-08-28;;;;6.5
519;2011-08-29;;;;9.0
520;2011-08-30;;;;0.0
521;2011-08-31;;;;17.5
522;2011-08-01;;;;0.0
523;2011-08-02;;;;0.0
524;2011-08-03;;;;14.6
525;2011-08-04;;;;13.2
526;2011-08-05;;;;0.0
527;2011-08-06;;;;0.0
528;2011-08-07;;;;6.9
529;2011-08-08;;;;0.0
530;2011-08-09;;;;21.0
531;2011-08-10;;;;0.0
532;2011-08-11;;;;0.0
533;2011-08-12;;;;0.0
534;2011-08-13;;;;0.0
535;2011-08-14;;;;27.9
536;2011-08-15;;;;0.0
